wkn,name,instrument_id
A2QJLA,BIT Global Fintech Leaders R-I,1584255
A3CN5X,Deka-Nachhaltigkeit Akt Deutschland TF,1554744
A3CNGM,BIT Global Crypto Leaders R-I,1570114
A3CREE,"TEMPLETON E.M.I.TR.LS-,05",1499167
A3CY8Q,HAAS INVEST4 INNOVATION S,1554735
DK2CDS,Deka-DividendenStrategie CF A,1426710
DNA10X,10XDNA Disruptive Technologies R,1560438
DWS0BJ,DWS Invest Chinese Equities LC,54737
DWS0R4,ARERO - DER WELTFONDS,73796
DWSK00,DWS Concept Kaldemorgen LC,1673193
EASY30,EASYFOLIO 30,49712
EASY50,EASYFOLIO 50,51242
EASY70,EASYFOLIO 70,55325
HAFX6R,Patriarch Classic Dividende 4 Plus A,62804
