wkn,name,instrument_id
A0NA48,ISHSII-MSCI USA ISL.DLDIS,257199
A0NCFR,UBS MSCI WORLD,56801
A0ND7C,LYX.FTSE MIB D(-2X)I(XB)A,1371801
A0NDKC,VANG.TO.BD MA.IDX ETF,1515153
A0NE3E,LYX.FTSE MIB D(-1X)I(B) A,1371795
A0NE5Y,ISHSTR-PREF+INC.SEC.ETF,1597939
A0NECU,ISHSII-JPM DL EM BD DLDIS,257208
A0NECV,ISHSII-EM INFRASTR.DLDIS,257172
A0NEUQ,LYX.FTSE MIB DA.LE. U.ETF,1371798
A0PGVT,IM II-MSCI EELCP EOD,806388
A0Q1YX,ISHARES MSCI JAPAN SMALL CAP,48485
A0Q1YY,ISHSIII-S+P SM.CAP600 DLD,262369
A0Q1YZ,ISHSII-MSCI ACFE XJSC DLD,257178
A0Q41X,ISHSIII-G.I.L.GOV.B.DLACC,262345
A0Q41Y,ISHSIII-EO COV.BD EO DIS,262342
A0Q4R0,ISHRS STX600 UTILITIES,49262
A0Q4R2,ISHRS STX600 AUTOMOBILES & PARTS,43031
A0Q4R3,ISHRS STX600 HEALTH CARE,47249
A0Q4R4,ISHRS STX600 REAL ESTATE,45020
A0Q4R6,ISHS DAX ESG UCITS,1444557
A0Q4RZ,ISH.EB.REXX.MON.MARK.(DE),48851
A0Q8H2,L+G-L+G R2000USSCQUCETF,1131840
A0Q8HZ,L+G-L+G GOLD MINING U.ETF,1131837
A0RAC9,POWERSHARES EUROMTS CASH 3 MONTHS FUND,51875
A0REJ2,AMUNDI MSCI EUROPE HEALTHCARE,48962
A0REJP,AMUNDI ETF MSCI FRANCE,688423
A0REJQ,AMUNDI ETF DAX U.ETF DR,55697
A0REJR,AMUNDI ETF MSCI UK,55883
A0REJT,AMUNDI ETF MSCI SPAIN,76298
A0REJZ,AMUNDI MSCI EUROPE BANKS,43667
A0RF42,AMUNDI ETF MSCI EMU HIGH DIVIDEND,50921
A0RF5A,AMUNDI ETF SH.CAC40 D.UC.,688426
A0RGCK,IM-I.STOXX EUROPE 600 A,51647
A0RGCL,INVESCOMI EURO STOXX 50 A,53594
A0RGCM,MSCI EUROPE SOURCE ETF,49631
A0RGCN,STOXX SMALL 200 SOURCE ETF,47996
A0RGCP,IM-I.STOXX EUR.MID200 A,43499
A0RGCQ,INVESCOMI MSCI USA ESG A,53897
A0RGCR,MSCI JAPAN SOURCE ETF,51713
A0RGCS,MSCI WORLD SOURCE ETF,57374
A0RGCT,INVESCOMI RUSSELL 2000 A,55328
A0RGEL,ISHSIII-EO G.BD 0-1YR EOD,262330
A0RGEM,ISHSIII-GL.GOV.BD DL DIS,262348
A0RGEN,ISHSIII-EO AGGR.BD EO DIS,262315
A0RGEP,ISHSIII-C.EO CORP.B.EODIS,44489
A0RGEQ,ISHSIII-CORE GL.AG.BD DLD,624224
A0RGER,ISHSIII-MSCI EM SM.C.DL D,262366
A0RL81,ISHSIII-EO GB.5-7YR EODIS,262336
A0RL82,ISHARES EURO GOV. BOND 10-15Y,262333
A0RL83,ISHSIII-C.EO GOV. B.EODIS,262309
A0RL84,ISHSIII-UK GILTS0-5YR LSD,1372047
A0RL8Z,ISHSIII-MSCI P.EX-J.DLDIS,262360
A0RNV6,AMUNDI ETF GOVT BOND EUROMTS BROAD 1-3,49625
A0RNV7,AMUNDI ETF GOVT BOND EUROMTS BROAD 3-5,47501
A0RNV8,AMUNDI ETF GOVT BOND EUROMTS BROAD 5-7,45773
A0RNV9,AMUNDI ETF GOVT BOND EUROMTS BROAD 7-10,59273
A0RNWA,AMUNDI ETF GOVT BOND EUROMTS BROAD 10-15,53141
A0RNWC,AMUNDI ETF EUROMTS CASH 3 MONTHS,51140
A0RNWD,AMUNDI ETF EO INFLATION,52739
A0RPR0,IM-I.STOXX E.600O.A.P. A,46400
A0RPR1,STOXX 600 OPTIM. BANKS SOURCE,57257
A0RPR2,IM-I.STOXX 600 OPT.RES. A,58841
A0RPR3,IM-I.STOXX EUROPE600O.C.A,43850
A0RPR4,STOXX 600 OPTIM. CONSTRU. & MATERIALS SOURCE,50783
A0RPR5,STOXX 600 OPTIM. FINANCIAL SERV. SOURCE,51068
A0RPR6,STOXX 600 OPTIM. FOOD & BEVERAGE SOURCE,55619
A0RPR7,STOXX 600 OPTIM. HEALTH CARE SOURCE,52094
A0RPR8,STOXX 600 OPTIM. INDUSTRIAL GOODS & SERV. SOURCE,880456
A0RPR9,STOXX 600 OPTIM. INSURANCE SOURCE,59459
A0RPSA,STOXX 600 OPTIM. MEDIA SOURCE,45896
A0RPSB,IM-I.STOXX E.600 O.O.G. A,57803
A0RPSC,IM-I.STOXX E.600O.P.H.G.A,50846
A0RPSD,STOXX 600 OPTIM. RETAIL SOURCE,48713
A0RPSE,STOXX 600 OPTIM. TECHNO. SOURCE,56243
A0RPSF,IM-I.STOXX EU.600 O.TEL.A,50294
A0RPSG,STOXX 600 OPTIM. TRAVEL & LEISURE SOURCE,59405
A0RPSH,STOXX 600 OPTIM. UTILITIES SOURCE,54089
A0RPV6,AMUNDI ETF MSCI WLD X EMU,50012
A0RPWG,ISHARES MSCI EUROPE (ACC),50297
A0RPWH,ISHARES MSCI WORLD (ACC),44039
A0RPWJ,ISHARES MSCI EMERGING MARKETS,262363
A0RPWL,ISHSIII-C.MSCI JP.IMI DLA,262357
A0RPWN,ISHARES EURO CORP EX-FINANCIALS,262327
A0RPWP,ISHSIII-EO CBX-F1-5YR EOD,262324
A0RPWQ,ISHSIII-EO C.BD 1-5YR EOD,262318
A0RPWR,ISHSIII-LS C.BD X-FIN.LSD,1372044
A0S9GB,DB GOLD OEZT,43298
A0SVX3,WITR COM.SEC.DZ07/UN.IDX,54863
A0SVX4,WITR COM.SEC.DZ07/UN.IDX,43451
A0SVX7,WITR COM.SEC.DZ07/UN.IDX,44162
A0SVX8,WITR COM.SEC.DZ07/UN.IDX,51464
A0SVXT,WITR COM.SEC.Z07/UN.IDX,1372617
A0SVXU,WITR COM.SEC.Z07/UN.IDX,1372620
A0SVXX,WITR COM.SEC.Z07/UN.IDX,1372623
A0SVXY,WITR COM.SEC.Z07/UN.IDX.,1372626
A0V3WV,WITR COM.SEC.Z08/UN.IDX,1372611
A0V4ZX,WITR COM.SEC.Z08/UN.IDX,1372596
A0V5BA,WITR COM.SEC.Z08/UN.IDX,1372644
A0V5V2,WITR COM.SEC.Z08/UN.IDX,1372647
A0V5V4,WITR COM.SEC.Z08/UN.IDX,1372632
A0V607,WITR COM.SEC.Z08/UN.IDX,1372653
A0V60A,WITR COM.SEC.Z08/UN.IDX,1372650
A0V6BQ,WITR COM.SEC.Z08/UN.IDX,1372608
A0V6Y0,WITR COM.SEC.Z08/UN.IDX,1372605
A0V6YR,WITR COM.SEC.Z08/UN.IDX,91389
A0V6YV,WITR COM.SEC.Z08/UN.IDX,1372599
A0V6YZ,WITR COM.SEC.Z08/UN.IDX,1372602
A0V6Z0,WITR COM.SEC.Z08/UN.IDX,1372641
A0V6ZB,WITR COM.SEC.Z08/UN.IDX,91377
A0V6ZP,WITR COM.SEC.Z08/UN.IDX,1372629
A0V6ZV,WITR COM.SEC.Z08/UN.IDX,91359
A0V6ZW,WITR COM.SEC.Z08/UN.IDX,1372635
A0V6ZX,WITR COM.SEC.Z08/UN.IDX,1372638
A0V9X0,WITR COM.SEC.DZ08/UN.IDX,43241
A0V9X4,WITR COM.SEC.DZ08/UN.IDX,49847
A0V9X5,WITR COM.SEC.DZ08/UN.IDX,51332
A0V9X6,WITR COM.SEC.DZ08/UN.IDX,50513
A0V9XY,WITR COM.SEC.DZ08/UN.IDX,1238050
A0V9Y5,WITR COM.SEC.DZ08/UN.IDX,43073
A0V9Y8,WITR COM.SEC.DZ08/UN.IDX,53849
A0V9YG,WITR COM.SEC.DZ08/UN.IDX,52838
A0V9YT,WITR COM.SEC.DZ08/UN.IDX,52019
A0V9YU,WITR COM.SEC.DZ08/UN.IDX,53417
A0V9YV,WITR COM.SEC.DZ08/UN.IDX,55064
A0V9YZ,WITR COM.SEC.DZ08/UN.IDX,43760
A0V9ZC,LEVERAGED PLATINUM,59678
A0V9ZE,WITR COM.SEC.DZ08/UN.IDX,45233
