wkn,name,instrument_id
A19S2V,HELLENIC REPUBLI,554547
A19S2W,HELLENIC REPUBLI,554478
A19S37,FORD MOTOR CRED,554487
A19S69,HUARONG UNI.I.H. 17/22,1303948
A19S70,ARCELORMITTAL 17/23 MTN,1436365
A19SFR,DIAGEO FIN PLC,554529
A19SLC,IBERDROLA INTL,554514
A19SLF,EDP FIN. 17/27 MTN,1614672
A19SLK,BRITISH TELECOMM,554499
A19SMC,GAZ CAPITAL 17/24 MTN,1303945
A19SNA,CROATIA,554484
A19SRQ,AT&S AG,554523
A19TCT,TELENET F.LUX. 17/28 REGS,1660458
A19TED,ROADSTER FIN. 17/32,1341165
A19TK5,CELANESE US 17/25,1484637
A19U11,MAZEDONIEN 18/25 REGS,591551
A19U8H,RAIF.BK INT. 18/UND. FLR,591545
A19UK0,BMW FIN. NV 18/28 MTN,685806
A19UK1,BMW FIN. NV 18/23 MTN,685803
A19UNN,DAIMLER INTL FIN.18/23FLR,685773
A19UR6,VONOVIA FINANCE 18/24 MTN,685776
A19UR7,VONOVIA FINANCE 18/28 MTN,685779
A19UUJ,MEXICO 18/28 MTN,591563
A19UWV,PORTUGAL 18-28,1259190
A19V3M,BCO SANTANDER 18/28 MTN,718011
A19V3P,FORD MOTOR CRED.18/22 FLR,589010
A19V3Q,FORD MOTOR CRED. 18/25,589013
A19V3T,RUMAENIEN 18/38 MTN REGS,591557
A19VK9,AROUNDTOWN 18/28 MTN,1484640
A19VN9,CHILE 18/29,591554
A19VVY,EU EUROP. UNION 18/25 MTN,589016
A19W02,MERCIALYS 18/26,1341117
A19WF3,GRIECHENLAND 18-25,591548
A19WVN,R-LOGITECH 18/23,812552
A19WX2,BCO SANTANDER 17-UND. FLR,1271018
A19X00,INTESA SAN. 18/28 MTN,1614675
A19X59,GAZ CAPITAL 18/26 MTN,1368294
A19X5N,SANOFI 18/38 MTN,1660497
A19X8B,VONOVIA FINANCE 18/30 MTN,1584240
A19X8C,VONOVIA FINANCE 18/38 MTN,1614558
A19X8K,GOLDM.S.GRP 18/28 MTN,1251408
A19XJW,EGGER HOLZWER. 18-UND.FLR,1424349
A19XP3,EIB EUR.INV.BK 18/28 MTN,1531720
A19XX2,PEUGEOT 18/25 MTN,1271030
A19Y83,BAWAG GROUP 18/UND. FLR,1368297
A19YD7,DANONE 18/25 MTN,685794
A19YDA,CORESTATE C.HDLG 18/23,1531654
A19YED,GM FINANCIAL 18/22MTN FLR,685812
A19YH2,GRENKE FIN. 18/23 MTN,685818
A19YJP,AXA 18/49 FLR MTN,718014
A19YUL,COTY 18/23 REGS,1531723
A19Z04,WIENERBERGER 18-24,685767
A19ZEK,PORTUGAL 18-34,1259193
A19ZHM,NOVAFIVES 18/25 REGS,1546212
A19ZL2,HDLBGCEM.FIN.LU. 18/28,1271078
A19ZQZ,SOFTBANK GROUP 18/23,685830
A19ZS7,SOFTBANK GROUP 18/25,685833
A19ZWC,ILIAD 18/25,1531684
A19ZWH,SAMSONITE F. 18/26 REGS,1341168
A1A21E,DT 4 1/2 10/28/30,59837
A1A2CP,SLOVGB 4.35 10/25,45902
A1AJAZ,RAGB 4.85 03/15/26,49196
A1AJTV,ENBW6 1/8 07/07/39,58250
A1AM06,SPGB 4.7 07/30/41,52931
A1AM2M,KPN 5 5/8 09/30/24,53552
A1AMJC,GENERALI 09/24 MTN,1614630
A1AMMG,ENEL FIN INTL NV,49187
A1AMPU,WMT 4 7/8 09/21/29,49760
A1ANNQ,IRISH 5.4 03/13/25,48584
A1ASBP,POLAND 5 1/4 01/25,50936
A1ATVW,SPGB 4.65 07/30/25,57932
A1AUUV,FRTR 4 04/25/60,59909
A1AWC1,DT 4 7/8 04/22/25,50381
A1AWF4,BGB 4 1/4 03/28/41,56624
A1AWP6,EDF 4 5/8 04/26/30,58859
A1AY27,DT 4 1/4 07/13/22,49829
A1AYYN,DBB 3 3/4 07/09/25,60341
A1G0AJ,EFSF,57680
A1G0AT,EFSF,55931
A1G0BC,EFSF 1 7/8 05/23/23,50489
A1G0D7,EFSF 18/28 MTN,589019
A1G0EU,RFGB 2 3/4 07/04/28,46676
A1G1GK,CZECH 3 7/8 05/24/22,44273
A1G1L4,KPN 4 1/4 03/01/22,52151
A1G1Q0,DBHNGR 3 03/08/24,51239
A1G1UA,GGB 2 02/24/23,55499
A1G1UB,GGB 2 02/24/24,53324
A1G1UC,GGB 2 02/24/25,42389
A1G1UD,GGB 2 02/24/26,57377
A1G1UE,GGB 2 02/24/27,48596
A1G1UF,GGB 2 02/24/28,46319
A1G1UG,GGB 2 02/24/29,48905
A1G1UH,GGB 2 02/24/30,45410
A1G1UJ,GGB 2 02/24/31,50057
A1G1UK,GGB 2 02/24/32,55643
A1G1UL,GGB 2 02/24/33,45011
A1G1UM,GGB 2 02/24/34,48119
A1G1UN,GGB 2 02/24/35,46199
A1G1UP,GGB 2 02/24/36,45407
A1G1UQ,GGB 2 02/24/37,44714
A1G1UR,GGB 2 02/24/38,46181
A1G1US,GGB 2 02/24/39,46244
A1G1UT,GGB 2 02/24/40,59411
A1G1UU,GGB 2 02/24/41,53063
A1G1UV,GGB 2 02/24/42,46262
A1G1UW,GGB 0 10/15/42,47126
A1G2KY,BELGIAN 0326,46988
A1G2KZ,ST GOBAIN,56348
A1G2X1,ELEC DE FRANCE,55766
A1G2X2,AALLN 3 1/2 03/28/22,52451
A1G30R,EU 3 3/8 04/04/38,43811
A1G3BS,FINPOW 3 1/2 04/03/24,55160
A1G3UU,LRFP 3 3/8 04/19/22,47198
A1G4UN,OBND 3 3/8 05/18/32,59306
A1G57X,REP OF POLAND,51449
A1G5HH,BHP 3 05/29/24,450648
A1G5UB,ASFINAG,57401
A1G6HT,DEUTSCH POST FIN,47768
